artist,sentiment_labmt,n_tokens_used,page_file
Montgomery_Gentry,6.157978609625667,1870,Montgomery_Gentry.txt
Morrissey,6.0711435087147745,6139,Morrissey.txt
Mudvayne,6.1230018879798624,1589,Mudvayne.txt
My_Chemical_Romance,6.2987780678851175,7660,My_Chemical_Romance.txt
Neil_Young,6.3445581727337625,7005,Neil_Young.txt
New_York_Dolls,6.211853194381514,2207,New_York_Dolls.txt
Nickelback,6.199462437395659,2995,Nickelback.txt
Nine_Inch_Nails,6.144827720207254,7720,Nine_Inch_Nails.txt
No_Doubt,5.80459487534626,2888,No_Doubt.txt
Our_Lady_Peace,6.378719043552519,2342,Our_Lady_Peace.txt
Ozzy_Osbourne,6.050314933965458,5906,Ozzy_Osbourne.txt
P.O.D.,6.237162872154116,1713,P.O.D..txt
Pantera,6.022191697191698,3276,Pantera.txt
Papa_Roach,6.344801957129543,4292,Papa_Roach.txt
Paramore,6.229517094017094,7020,Paramore.txt
Parliament-Funkadelic,6.351842105263158,988,Parliament-Funkadelic.txt
Pat_Benatar,6.394627817949808,2351,Pat_Benatar.txt
Paul_McCartney,6.377163200723326,8848,Paul_McCartney.txt
Paul_McCartney_and_Wings,6.37607604860839,2551,Paul_McCartney_and_Wings.txt
Pearl_Jam,6.291465167711022,5426,Pearl_Jam.txt
Peter_Frampton,6.301857630424184,2051,Peter_Frampton.txt
Peter_Gabriel,6.357928663515256,4654,Peter_Gabriel.txt
Phil_Collins,6.215894198978058,6654,Phil_Collins.txt
Pink_Floyd,6.24549781523096,6408,Pink_Floyd.txt
Pop_Evil,5.940459401709402,936,Pop_Evil.txt
Puddle_of_Mudd,6.352912895927602,1768,Puddle_of_Mudd.txt
Queens_of_the_Stone_Age,6.237668410725965,3058,Queens_of_the_Stone_Age.txt
Quiet_Riot,5.897582861762328,2474,Quiet_Riot.txt
R.E.M.,6.310879234548746,3867,R.E.M..txt
REO_Speedwagon,6.25284251968504,1270,REO_Speedwagon.txt
Radiohead,6.317650523560209,7640,Radiohead.txt
Rage_Against_the_Machine,5.680208054972323,5239,Rage_Against_the_Machine.txt
Rammstein,6.214587337478801,3538,Rammstein.txt
Ramones,6.1545618915159945,3595,Ramones.txt
Ratt,6.159398148148148,1512,Ratt.txt
Red_Hot_Chili_Peppers,6.240484164543139,5494,Red_Hot_Chili_Peppers.txt
Ringo_Starr,6.317056329497274,4953,Ringo_Starr.txt
Rise_Against,5.915270361229527,4457,Rise_Against.txt
Ritchie_Valens,6.235384024577574,1302,Ritchie_Valens.txt
Rob_Zombie,5.600981759656653,5592,Rob_Zombie.txt
Robert_Plant,6.448892617449664,3576,Robert_Plant.txt
Rod_Stewart,6.301984782608696,4600,Rod_Stewart.txt
Roxy_Music,6.455705244122965,2212,Roxy_Music.txt
Roy_Orbison,6.241334384858043,3170,Roy_Orbison.txt
Run-DMC,6.130806184428492,1811,Run-DMC.txt
Sam_Fender,6.367934212617193,6293,Sam_Fender.txt
Saving_Abel,6.338177339901478,609,Saving_Abel.txt
Seether,6.268849938499385,1626,Seether.txt
Sepultura,6.087958860759494,3160,Sepultura.txt
Sex_Pistols,6.007100126742712,3945,Sex_Pistols.txt
Sheryl_Crow,6.341808902750213,3527,Sheryl_Crow.txt
Shinedown,6.198062827225132,2865,Shinedown.txt
Silverchair,6.197574782888388,3109,Silverchair.txt
Simple_Minds,6.373249113475177,4512,Simple_Minds.txt
Simple_Plan,6.243738977072311,2835,Simple_Plan.txt
Sixto_Rodriguez,6.289593544530783,1673,Sixto_Rodriguez.txt
Slade,6.278952333664349,4028,Slade.txt
Slayer,6.0379165160824,5534,Slayer.txt
Sly_and_the_Family_Stone,6.408954907161804,1885,Sly_and_the_Family_Stone.txt
Small_Faces,6.266614127262113,1713,Small_Faces.txt
Smash_Mouth,6.320025906735751,1544,Smash_Mouth.txt
Snow_Patrol,6.228640572390573,2376,Snow_Patrol.txt
Social_Distortion,6.212923076923077,2145,Social_Distortion.txt
Sonic_Youth,6.242339731981166,2761,Sonic_Youth.txt
Soundgarden,6.210201435517481,4319,Soundgarden.txt
Staind,6.188043899289863,1549,Staind.txt
Starset,6.275017985611511,1668,Starset.txt
Steely_Dan,6.179441080577551,2147,Steely_Dan.txt
Steve_Miller_Band,6.368483206933912,923,Steve_Miller_Band.txt
Steve_Vai,6.442576385292593,3862,Steve_Vai.txt
Steve_Winwood,6.308258602711157,1918,Steve_Winwood.txt
Stevie_Nicks,6.376667323222376,5077,Stevie_Nicks.txt
Stevie_Ray_Vaughan,6.083490945674044,2982,Stevie_Ray_Vaughan.txt
Stone_Sour,6.37247357293869,1419,Stone_Sour.txt
Stone_Temple_Pilots,6.358609539207761,2474,Stone_Temple_Pilots.txt
Sublime_with_Rome,6.29121720116618,1372,Sublime_with_Rome.txt
Sum_41,6.066687466087901,7372,Sum_41.txt
Supertramp,6.1415625,1632,Supertramp.txt
System_of_a_Down,6.028300947867299,4220,System_of_a_Down.txt
Talking_Heads,6.278684889118102,1939,Talking_Heads.txt
Ted_Nugent,5.93039407490218,3578,Ted_Nugent.txt
